Key,Source,Context,English,Context / Alternate Text,german,latam,french,italian,japanese
resourceFiberCordageRH,items,Item,Fiber Cordage,,,,,,"繊維ロープ"
resourceFiberCordageRHDesc,items,Item,"Cordage can be used to bind together primitive items.",,,,,,"ロープは素材を組み合わせるために利用できます"
resourceArrowHeadStoneRH,items,Tool,Stone Arrowhead,,,,,,"石の矢尻"
resourceArrowHeadStoneRHDesc,items,Tool,"Crafted from stone, used to make arrows and bolts.",,,,,,"石から作ることができ、弓や弩の矢を作ることができます"
resourceArrowShaftRH,items,Tool,Arrow Shaft,,,,,,"矢柄"
resourceArrowShaftRHDesc,items,Tool,"Crafted from wood, arrow shafts are necessary to make arrows.",,,,,,"木材から作ることができ、矢を作るのに必要です"
resourceStickRH,items,Item,Sticks,,,,,,"木の棒"
resourceStickRHDesc,items,Item,"Crafted from wood, sticks are useful in many survival situations.",,,,,,"木材から作ることができ、様々なサバイバルの場面に役立ちます"
resourcePlankRH,items,Item,Plank,,,,,,"木の板"
resourcePlankRHDesc,items,Item,"Crafted from wood, planks are used in building.",,,,,,"木材から作ることができ、建築に利用します"
resourceTwineRH,items,Item,Twine,,,,,,"紐"
resourceTwineRHDesc,items,Item,"Use to craft clothing, armor, and weapons.",,,,,,"衣服、防具、武器の作成に使います"
resourceSharpenedStoneRH,items,Item,Sharp Stone,,,,,,"研磨した石"
resourceSharpenedStoneRHDesc,items,Item,"Sharpening the stones you find helps you make deadly tools and weapons.",,,,,,"石を研ぐことで、強力な道具や武器を作ることができます"
