Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
foodCanCorn,items,Food,,,Can of Corn,,Dose Mais,Lata de maíz,Conserve de petits maïs,Mais in scatola,とうもろこしの缶,옥수수 캔,Kukurydzy w puszce,Lata de Milho,Банка кукурузы,Konserve Mısır,玉米罐,玉米罐,Lata de maíz
foodCanPotato,items,Food,,,Can of Potatoes,,Dose Kartoffeln,Lata de patatas,Conserve de pommes de terre,Patate in scatola,ジャガイモの缶,감자 캔,Ziemniaków w puszce,Lata de Batatas,Банка картофеля,Konserve Patates,土豆罐,土豆罐,Lata de patatas
foodCanMushrooms,items,Food,,,Can of Mushrooms,,Dose Pilze,Lata de champiñones,Conserve de champignons,Funghi in scatola,キノコの缶,버섯 캔,Grzybów w puszce,Lata de Cogumelos,Банка грибов,Konserve Mantar,蘑菇罐,蘑菇罐,Lata de champiñones
foodPreservedBlueberries,items,Food,,,Blueberry Preserves,,Blaubeerkonserven,Conservas de mora,Conserve de myrtille,Conserve di Mirtilli,ブルーベリープリザーブ,블루베리 프 리저브,Przetwory jagodowe,Conservas de Mirtilo,Черничное варенье,Yaban Mersini Reçeli,蓝莓酱,藍莓果醬,Conservas de mora
foodPreservedSnowberries,items,Food,,,Snowberry Preserves,,Schneebeerkonserven,Conservas de baya de nieve,Conserve de symphorine,Conserve di sinforina,セッコウボクプリザーブ,스노우베리 프 리저브,Przetwory śnieżne,Conservas de Baga-da-neve,Снежное варенье,Kar Üzümü Reçeli,雪莓酱,雪果果醬,Conservas de baya de nieve
foodCannedDesc,items,Food,,,All the convenience of preserved food without the distracting flavor.\nCrafted in lots of 5.,,Alle Bequemlichkeit von konservierten Lebensmitteln ohne den störenden Geschmack.\nGefertigt in vielen 5en.,Toda la comodidad de los alimentos en conserva sin el sabor que distrae.\nSe fabrica en lotes de 5.,Toute la commodité de la nourriture conservée sans la saveur distrayante.\nFabriqué par lot de 5.,Tutta la praticità del cibo conservato senza il sapore fastidioso.\nIn pezzi da 5.,気を散らす味のない保存食品のすべての便利さ。\n5個入りロットでクラフトされます。,산만 한 풍미없이 보존 식품의 모든 편리함.\n제5 부지에서 제작되었습니다.,Cała wygoda konserwowanej żywności bez rozpraszającego smaku.,Toda a conveniência de alimentos em conserva sem o sabor perturbador.\nWytwarzanie w partiach po 5 szt.,Все удобство консервов без отвлекающего аромата.\nИзготавливается партиями по 5 штук.,Dikkat dağıtıcı tadı olmadan korunmuş yiyeceklerin tüm rahatlığı.\n5'li üretilir.,腌制食品的所有便利都不会分散风味。\n一份制作5个。,醃製食品的所有便利都不會分散風味。\n每次可製作 5 份。,Toda la comodidad de los alimentos en conserva sin el sabor que distrae.\nSe fabrica en lotes de 5.
foodCanBeefSchematic,items,Food,,,Large Beef Ration Recipe,,Großes Rindfleischrationsrezept,Receta de ración de carne grande,Recette de grande ration de boeuf,Ricetta per razione di manzo grande,大規模な牛肉の配給レシピ,큰 쇠고기 식량 레시피,Przepis na dużą porcję wołowiny,Receita de ração de carne grande,Рецепт большого говяжьего рациона,Büyük Dana Rasyon Tarifi,大牛肉配食食谱,大牛肉配食食譜,Receta de ración de carne grande
foodCanLambSchematic,items,Food,,,Lamb Rations Recipe,,Lamb Rations Recipe,Receta de raciones de cordero,Recette de rations d'agneau,Ricetta per razioni di agnello,子羊の配給レシピ,양고기 식량 레시피,Przepis na racje jagnięce,Receita de rações de cordeiro,Рецепт рациона из баранины,Kuzu Rasyon Tarifi,羔羊定量食谱,羔羊定量食譜,Receta de raciones de cordero
foodCanDogfoodSchematic,items,Food,,,Can of Dog Food Recipe,,Dose Hundefutter Rezept,Receta de lata de comida para perros,Recette de canette de nourriture pour chien,Lattina di cibo per cani ricetta,ドッグフードレシピの缶,개밥 레시피 캔,Przepis na karmę dla psów,Receita de comida para cachorro,Рецепт консервной банки,Köpek Maması Tarifi,可以狗食食谱,可以狗食食譜,Receta de lata de comida para perros
foodCanStockSchematic,items,Food,,,Can of Stock Recipe,,Dose Stock Rezept,Receta de lata de stock,Recette de canette de bouillon,Lattina di ricetta di riserva,缶のストックレシピ,스톡 레시피 캔,Przepis na puszkę zapasów,Receita em lata de estoque,Рецепт консервной банки,Stok Tarifi Konserve,罐存货食谱,罐存貨食譜,Receta de lata de stock
foodCanSoupSchematic,items,Food,,,Chicken Soup Recipe,,Hühnersuppe Rezept,Receta de sopa de pollo,Recette de soupe au poulet,Ricetta Zuppa Di Pollo,チキンスープのレシピ,치킨 수프 레시피,Przepis na Zupę Kurczaka,Receita de canja de galinha,Рецепт куриного супа,Tavuk Çorbası Tarifi,鸡肉汤食谱,雞肉湯食譜,Receta de sopa de pollo
foodCanCornSchematic,items,Food,,,Can of Corn Recipe,,Dose Mais Rezept,Receta de lata de maíz,Recette de boîte de maïs,Ricetta di lattina di mais,とうもろこしレシピの缶,옥수수 레시피 캔,Przepis na puszkę kukurydzy,Receita de lata de milho,Рецепт банки кукурузы,Mısır Konservesi Tarifi,可以玉米食谱,可以玉米食譜,Receta de lata de maíz
foodCanPotatoSchematic,items,Food,,,Can of Potatoes Recipe,,Dose Kartoffel Rezept,Receta de lata de patatas,Recette de boîte de pommes de terre,Lattina di patate ricetta,じゃがいものレシピの缶,감자 레시피 캔,Przepis na puszkę ziemniaków,Receita de lata de batata,Рецепт Банки Картофеля,Patates Konservesi Tarifi,可以的土豆食谱,可以的土豆食譜,Receta de lata de patatas
foodCanMushroomsSchematic,items,Food,,,Can of Mushrooms Recipe,,Dose Pilze Rezept,Receta de lata de champiñones,Recette de boîte de champignons,Ricetta lattina di funghi,きのこのレシピの缶,버섯 레시피 캔,Przepis na puszkę grzybów,Receita de lata de cogumelos,Банка грибов Рецепт,Konserve Mantar Tarifi,可以的蘑菇食谱,可以的蘑菇食譜,Receta de lata de champiñones
foodPreservedBlueberriesSchematic,items,Food,,,Blueberry Preserves Recipe,,Blaubeerkonserven Rezept,Receta de conservas de arándanos,Recette de conserves de bleuets,Ricetta Conserva Di Mirtilli,ブルーベリープリザーブレシピ,블루 베리는 조리법을 보존합니다,Przepis na przetwory jagodowe,Receita de conservas de mirtilo,Рецепт варенья из черники,Yabanmersini Tarifi Korur,蓝莓蜜饯食谱,藍莓蜜餞食譜,Receta de conservas de arándanos
